Job Name,Company Name,Location,Salary,Description,Skills
Partner Technical Advisor,Microsoft,"Hyderabad, Telangana",NA,Passion for technology and learning.Candidates should be comfortable discussing complex technical scenarios and solutions with varying customer skill levels…,"Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
OT - Ops Excellence - FSI - CON- Hyderabad/Bengaluru - Emplo...,Deloitte,"Gurgaon, Haryana",NA,"So, we provide a range of resources including live classrooms, team-based learning, and eLearning.As a Portfolio, ‘Operations Transformation’ practice brings…","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
Data Science Trainer,Emerging India Group,India,NA,"To teach Python, Machine learning, Deep Learning, Data wrangling, Integration with Big Data Hadoop, Scoop, Impala, Hive, Pig & Spark R with Statistics, Data…","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
Operations Engineer – Autonomous Vehicles,NVIDIA,"Pune, Maharashtra",NA,NVIDIA is the leading artificial intelligence computing company and paving the way with innovations in self-driving cars space.What you will be doing:,"Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
Senior Data Scientist,Innoplexus,"Pune, Maharashtra",NA,Develop highly scalable deep learning algorithms to improve our platform.Lead and mentor a small team of data scientists in applying existing learning…,"Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
US Cyber Security Startup – Ground Floor – $75K-$100K,CareerXperts,"Bengaluru, Karnataka",NA,"Familiarity with machine learning frameworks (Like PyTorch) and libraries (like scikit-learn).We’re building the future of cyber security, and we’re looking…","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
Quality Engineer,QuEST Global Engineering,"Hyderabad, Telangana",NA,Role: QE Engineer with Java and API Automaton skills Location: Hyderabad Strong and hands-on Java (knowledge of Java8 and Java11 features) Minimum experience…,"Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
Business Risk & Controls Direc,WELLS FARGO BANK,"Bengaluru, Karnataka",NA,Must develop deep relationships with other Control groups to share best practices.Provide leadership in proactive organization planning for the WFIP EF Control…,"Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
Partner Program Services (Hyderabad),ALC India,India,NA,"Design capacity building programs and learning tours for livelihoods (session plans, training modules and other aids) for various stakeholders.","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
"Manager, Data Science",Aera Technology,"Pune, Maharashtra",NA,"Aera's Cognitive OS leverages the best of artificial intelligence, machine learning, natural language processing, big data, and enterprise domain expertise to…","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
PL/SQL Developer,Copious Software,"New Delhi, Delhi",NA,Should have a deep understanding of data visualization.Are you looking for exciting opportunities in core product development with a world top-notch…,"Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
Associate Director - Research,Centre for Civil Society,"New Delhi, Delhi",NA,"Encouraging innovation and treating failure as a learning experience.Build internal capabilities of team members by coaching, sharing learnings, providing…","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
FPGA and System Design Engineer ( 0 to 2 years),Yantravision Software Pvt Ltd,NA,20000 - 35000,"Looking for engineers with FPGA and RTL Design Skills. 1. Design, RTL Coding & Basic Verification Skills 2. FPGA Toolchain - Integration, Synthesis &…","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
Employee Experience Specialist,IHS Markit,"Hyderabad, Telangana",NA,"IHS Markit harnesses deep sources of information, analytics and expertise to forge solutions for the industries and markets that drive global economies.","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
"Consultant, Advanced Analytics Python/R",Fractal.ai,"Bengaluru, Karnataka",NA,"Role Brief: 3-6 years of Advanced analytics/Predictive Modeling using Python/R, SQL and Machine Learning. Brief about the Team & Fractal: Fractal Analytics…","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
Database Administrator (DBA),MNR Solutions Private Limited,"Bengaluru, Karnataka",NA,"Demonstrated ability to understand, and research/learning skills to solve, technical challenges.Hiring Sr. SQL Server DBA for an IT MNC organization.","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
"Vice President, Supply Chain",Bridge International Academies,"Hyderabad, Telangana",NA,The Bridge model delivers significant learning outcomes at large scale by combining technology and customized learning materials.Bachelor’s degree required.,"Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
Chip Level Smartphone Engineer,Techyuga,"Kolkata, West Bengal",NA,"Deep Knowledge in the technical niche.Computers, smartphones and so on.Good knowledge about Hardware repair.Vast knowledge about Chip-level repair work.","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
Manager BIE,ASSPL - Telangana,"Hyderabad, Telangana",NA,"Exposure to statistical modeling, data science and machine learning techniques.Helping to automate processes by developing deep-dive tools, UIs, metrics, and…","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
Enterprise Architect,Blackstraw,"Chennai, Tamil Nadu",NA,"We are focused on providing solutions related to computer vision, natural language processing, Data annotation tool for deep learning models, etc.","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
Cloud Engineer (Cloud Platform Services),Diebold Nixdorf,"Mumbai, Maharashtra",NA,A passion for learning and staying current on cloud-related technologies.Maintain deep hands-on technical knowledge of Microsoft Azure and cloud-related…,"Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
Image Processing / Software Developer (GIS),Wayzontech Services,"Pune, Maharashtra",NA,"Machine learning:- KNN, SVM, Text Search.Education: Master in Machine Learning/ Computer Vision/Deep learning with GIS Knowledge (add on).","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
SUBJECT TEACHERS FOR CLASS 3 TO 12,Manthan International School,"Hyderabad, Telangana",NA,Should have deep conceptual and working knowledge.Should have deep conceptual and working knowledge.Should have deep conceptual and working knowledge.,"Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
Full Stack Developer,Deep Trekker Inc.,NA,NA,"True, demonstrated passion for software development and continuous learning.At Deep Trekker we work hard and get stuff done, but we have fun doing it.","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
Full Stack Developer,Deep Trekker Inc.,NA,NA,"True, demonstrated passion for software development and continuous learning.At Deep Trekker we work hard and get stuff done, but we have fun doing it.","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
Full Stack Developer,Deep Trekker Inc.,NA,NA,"True, demonstrated passion for software development and continuous learning.At Deep Trekker we work hard and get stuff done, but we have fun doing it.","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
