Job_Name,Company_Name,Location,Salary,Description,Skills
Sales Commission Analyst 2,Oracle,"Bengaluru, Karnataka",NA,"General Function: Ensure timely and accurate submission of License, Consulting, or Support Services Sales Teams commissions and/or bonuses in accordance with…","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Technical Business Analyst,Saffron Consultancy Services,"Hyderabad, Telangana",200000 - 300000,"Candidates shopuld have good business analysis skills, must be keen on a career in analytics and Business Intelligence.Expected Start Date: 31/8/2020.","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Business Analyst (Life Insurance/Vantage domain),DXC Technology India,"Mumbai, Maharashtra",NA,"Â€¢ Experience in requirement gathering, gap analysis and business specs writingÂ.Â€¢ Should have sound knowledge in life insurance domain (Annuity/Payouts…","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Senior Associate- Communication and data analyst,Arthan careers,"Delhi, Delhi",20000 - 35000,"Should be expert at excel.Lead outreach partnerships to drive empanelment of students, teachers and schools .Project among other schools in the longer run.","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Domain Analyst - TeamLeader - Consumer,EY,"Gurgaon, Haryana",NA,"Supporting business development, account planning and delivery.Minimum 10-13 years experience in strategy, business analysis, industry research, management…","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Business Analyst,Star Knowledge Ventures LLP,"Bengaluru, Karnataka",NA,"Looking for Monitoring and Analytics lead who has prior experience in tools like Nexthink, Airwatch reporting, Airwatch Intelligence, ServiceNow Reporting.","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Business Analyst,slktechlabs,"Ahmedabad, Gujarat",NA,"Translating business requirement document to software requirement specifications.The business analyst would work closely with our customers to understand,…","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Senior Analyst Business Operations,Merkle Sokrati,"Pune, Maharashtra",NA,"Making a splash in a multi-billion dollar Digital Advertising industry.You'd fit right in if you:And if you’re excited about:@Merkle|Sokrati, you will:","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
"Research, Data Analytics - Analyst / Senior Analyst",Information Services Group,"Bengaluru, Karnataka",NA,"The analyst will also support ad hoc inquiries, research projects, and tracks all inquiries.Work with diverse set of analysts and consultants, a team player…","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Business Analyst,RV Technologies Softwares Pvt Ltd,NA,300000 - 650000,Business analyst: 1 year (Preferred).Having effective meetings with the business developers and developers.The candidate will be responsible for gathering the…,"Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Business Analyst (811617),Skoruz,"Bengaluru, Karnataka",NA,"Bangalore, Karnataka - India | Posted - 29/01/2020.Strong oral and written communication skills, as well as strong documentation skills to describe existing…","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Business Analyst,Ownrox Technologies,"Jaipur, Rajasthan",NA,Candidate should have great online marketing skills.Candidate should have experience in online Internet marketing or at least should have an adequate knowledge…,"Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
BM Analyst,Deutsche Bank,"Mumbai, Maharashtra",NA,We build talented and diverse teams to drive business results and encourage our people to develop to their full potential.What we’ll offer you.,"Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
"Software Engineer/Programmer, Trainee, Fresher, Business Ana...",Structured Learning Assistance Consultants India P...,"Delhi, Delhi",NA,Fresher Can Apply - call @ 6397800351.Key Responsibilities: - Fresher / Trainee / Developer / Programmer.1 >Good programming and logical skills.,"Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Business Analyst,cr2,"Ahmedabad, Gujarat",NA,"Software development process monitoring and identifying gap, if any.As we continue to grow, we are always looking for good people.","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Technical Business Analyst Manager,Refinitiv,NA,NA,"And as a global business, Refinitiv relies on diversity of culture and thought to deliver on our goals.They gather and document business and technical data…","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Technical Business Analyst Manager,Refinitiv,NA,NA,"And as a global business, Refinitiv relies on diversity of culture and thought to deliver on our goals.They gather and document business and technical data…","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Technical Business Analyst Manager,Refinitiv,NA,NA,"And as a global business, Refinitiv relies on diversity of culture and thought to deliver on our goals.They gather and document business and technical data…","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Technical Business Analyst Manager,Refinitiv,NA,NA,"And as a global business, Refinitiv relies on diversity of culture and thought to deliver on our goals.They gather and document business and technical data…","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Technical Business Analyst Manager,Refinitiv,NA,NA,"And as a global business, Refinitiv relies on diversity of culture and thought to deliver on our goals.They gather and document business and technical data…","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
2161 - Sr. Business Analyst - IT Compliance and Infrastructu...,"Cytel, India",NA,NA,Cytel does not accept referrals from employment businesses and/or employment agencies in respect of the vacancies posted on this site.,"Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Technical Business Analyst Manager,Refinitiv,NA,NA,"And as a global business, Refinitiv relies on diversity of culture and thought to deliver on our goals.They gather and document business and technical data…","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Technical Business Analyst Manager,Refinitiv,NA,NA,"And as a global business, Refinitiv relies on diversity of culture and thought to deliver on our goals.They gather and document business and technical data…","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Technical Business Analyst Manager,Refinitiv,NA,NA,"And as a global business, Refinitiv relies on diversity of culture and thought to deliver on our goals.They gather and document business and technical data…","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Technical Business Analyst Manager,Refinitiv,NA,NA,"And as a global business, Refinitiv relies on diversity of culture and thought to deliver on our goals.They gather and document business and technical data…","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Technical Business Analyst Manager,Refinitiv,NA,NA,"And as a global business, Refinitiv relies on diversity of culture and thought to deliver on our goals.They gather and document business and technical data…","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
2161 - Sr. Business Analyst - IT Compliance and Infrastructu...,"Cytel, India",NA,NA,Cytel does not accept referrals from employment businesses and/or employment agencies in respect of the vacancies posted on this site.,"Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Technical Business Analyst Manager,Refinitiv,NA,NA,"And as a global business, Refinitiv relies on diversity of culture and thought to deliver on our goals.They gather and document business and technical data…","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Technical Business Analyst Manager,Refinitiv,"Pune, Maharashtra",510000,Key Skills business development business analyst.Writing business requirement and proposed solutions.Ensuring the implementation of the solution is on track…,"Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
