Job_Name,Company_Name,Location,Salary,Description,Skills
Prof-Application-Development,Sutherland,"Bengaluru, Karnataka",NA,Sutherland is seeking a strategic-thinking and dynamic person to join us as a Java Developer.We are a group of driven and energetic individuals.,"Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
Web Development Internship,PeerMagic,"Gurgaon, Haryana",40000,"Previous working experience as a PHP/Laravel/Javascript/Node developer BS/MS degree in computer science, engineering, IT or similar relevant field In-depth…","Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
Full Stack Developer,Deven InfoTech,"Pune, Maharashtra",NA,"Angular 8, AngularJS, CSS, OOPS, MySQL, HTML5, Full Stack, PHP, Node.js, HTML, Laravel.Ability to work and thrive in a fast-paced environment,learn rapidly and…","Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
Full Stack Developer,Biz4Group,"Jaipur, Rajasthan",600000 - 1200000,"The ideal candidate should be hands-on, creative and passionate for new technology in Angular, NodeJS, AWS, MVC and enjoys collaboration, love software…","Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
Backend Developer (Node JS),University Living,"Noida, Uttar Pradesh",NA,Location: NoidaQualification: Bachelor’s Degree/ Relevant CertificationKey Responsibilities: · Responsible for managing the interchange of data between the…,"Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
Developers and Engineers,NetFoundry,Remote,NA,"NetFoundry is looking for talented and versatile developers, network engineers and cloud administrators to join our trailblazing team.","Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
"Experience Web Developers - Angular, NodeJS, Python, Julia",NETBT90 LLP,Remote,20000 - 100000,"We are currently hiring 3 Senior python developers.We are currently hiring 6 NODE.js Developers.(Must be able to work on node.js, JQuery, Angular, mySQL).","Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
Back-End Developer,Blue Tie Global Private Limited,"Mumbai, Maharashtra",NA,Minimum 3 Years of Experience.We are looking for a Back-End Developer/ Node Developer (with 3-7 years of experience) who is responsible for managing back-end…,"Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
Laravel Developer,TechZarInfo Software & Consulting Services,"Tiruchchirappalli, Tamil Nadu",200000 - 450000,"We are happy to introduce about our self, TechZarInfo is one of the best IT services providing company.We are established in 2009 and till serving more than…","Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
Node js developer,Yobored,NA,1000000 - 1200000,JS developer who is proficient in React.Yo Corp. is a data communications and security company.We are looking for a dedicated Node.,"Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
Full Stack Software Developer,Ciena,"Pune, Maharashtra",NA,"Since 1992, Ciena has been driven by a relentless pursuit of network innovation.We believe in a network that grows smarter, more agile, and more responsive…","Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
Software Developer - Blockchain Technologies,AIStrata Technology Solutions,"Dilsukhnagar, Hyderabad, Telangana",NA,AISTRATA is looking for a Blockchain Developer/Architect with hands-on experience in Blockchain/Distributed Ledger Technologies.,"Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
UI Developer,AI Cyber Solutions,"Perungudi, Chennai, Tamil Nadu",NA,AI Cyber Solutions Pvt Ltd is hiring UI developer to work on UI development and Front End development.Design good user experience and convert them to CSS and…,"Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
MEAN Stack Trainee,Zydus Info Services,"Gandhinagar, Gujarat",3000 - 4000,"We are looking to hire a MEAN Stack Developer/Intern to join our dynamic team.As a Developer/Intern, you will be responsible for creating a top-level coding…","Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
ReactJS Developer - Mohali,RTEX HR Service Pvt. Ltd.,"Mohali, Punjab",30000 - 60000,"Knowledge of backend - Node. js,.Experience : - *Minimum 3 years , 2.5 years in React js. only.Expertise of functional programming using JavaScript (ES5, ES6)…","Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
Hiring NodeJS Developer At Solution Analysts.!,Solution Analysts Pvt Ltd,"Ahmedabad, Gujarat",300000 - 500000,"Our 200+ engineers are the lifeblood of our company.With our robust offering of career development opportunities, your chances to grow are limitless.","Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
PHP(moodle) Developer,Refixd Technology Pvt Ltd,"Bengaluru, Karnataka",300000 - 500000,"Knowledge on web development, OOPs concept and proficient on PHP, MYSQL, jQuery, JavaScript, HTML5, CSS3, Ajax, Json, XML.Worked on responsive web design.","Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
Web Developer,Krify Software Technologies PVT LTD,"Kakinada, Andhra Pradesh",NA,3+years experience in Web technologies.MySQL. Experience with Cake Php.Any other frameworks is an added advantage Knowledge of web technologies including HTML…,"Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
Angular/React Developer,gate6,"Indore, Madhya Pradesh",NA,Requirements Minimum 3 years of experience Good experience in Angular/React 4 and above Strong knowledge and coding experience in JavaScript Experience in…,"Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
Full Stack Developer,Research Grid Ltd,NA,50000,Proven experience as a full-stack developer.We are looking for a full stack developer for a minimum of 2 years to produce scalable software solutions.,"Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
Hire Node Js Developer,Miner Bros,NA,250000 - 400000,"Professional web development in Node.js , React js , Angular js ,Amazon AWS , Basic Knowledge of Server and Hosting ,.React JS: 1 year (Preferred).","Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
Senior Application Developer,Alliance Data,NA,NA,"It's fun to work in a company where people truly BELIEVE in what they're doing !The Application Developer, Senior designs, builds, maintains and configures…","Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
Senior Application Developer,Alliance Data,NA,NA,"It's fun to work in a company where people truly BELIEVE in what they're doing !The Application Developer, Senior designs, builds, maintains and configures…","Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
Hire Node Js Developer,Miner Bros,NA,250000 - 400000,"Professional web development in Node.js , React js , Angular js ,Amazon AWS , Basic Knowledge of Server and Hosting ,.React JS: 1 year (Preferred).","Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
Senior Application Developer,Alliance Data,NA,NA,"It's fun to work in a company where people truly BELIEVE in what they're doing !The Application Developer, Senior designs, builds, maintains and configures…","Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
Senior Application Developer,Alliance Data,NA,NA,"It's fun to work in a company where people truly BELIEVE in what they're doing !The Application Developer, Senior designs, builds, maintains and configures…","Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
Senior Application Developer,Alliance Data,NA,NA,"It's fun to work in a company where people truly BELIEVE in what they're doing !The Application Developer, Senior designs, builds, maintains and configures…","Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
Senior Application Developer,Alliance Data,NA,NA,"It's fun to work in a company where people truly BELIEVE in what they're doing !The Application Developer, Senior designs, builds, maintains and configures…","Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
Senior Application Developer,Alliance Data,NA,NA,"It's fun to work in a company where people truly BELIEVE in what they're doing !The Application Developer, Senior designs, builds, maintains and configures…","Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
