Job_Name,Company_Name,Location,Salary,Description,Skills
Database Engineer (MySQL),skilora,Remote,NA,"Percona Support is a global, elite team of superhero engineers who love getting to the bottom of weird and interesting database behavior.","Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
Sr. Quality Engineer,Ellie Mae,"Pune, Maharashtra",NA,Ellie Mae is the leading cloud-based platform provider for the mortgage finance industry.Ellie Mae’s technology solutions enable lenders to originate more…,"Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
DevOps Engineer,Continuous Care,"Thiruvananthapuram, Kerala",NA,"In this role you will be responsible for the deployment and maintenance of a cloud-based enterprise SaaS solution, deploying, automating, maintaining,…","Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
Devops Engineer,Calsoft Private Limited,"Pune, Maharashtra",NA,Â€¢Strong Linux package management skills : RPM / Deb preferably deb.Â€¢Aware of building deploying opensource tools from source.Â€¢Experience in below tools.,"Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
Senior DevOps-Network Engineer,SAP,"Bengaluru, Karnataka",NA,"That’s why we engineer solutions to fuel innovation, foster equality and spread opportunity for our employees and customers across borders and cultures.","Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
Software Sr Engineer- (Java-J2EE Micro Services),WELLS FARGO BANK,"Bengaluru, Karnataka",NA,Wells Fargo & Company (NYSE: WFC) is a leading global financial services company headquartered in San Francisco (United States).It all begins with you.,"Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
DevOps,Oracle India Pvt Ltd,"Bengaluru, Karnataka",2000000 - 6000000,Provide technical leadership to a team of DevOps engineers.Provide technical leadership to a team of DevOps engineers.Total work: 10 years (Preferred).,"Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
MEAN Stack Engineer,Kongsberg Digital India,"Bengaluru, Karnataka",NA,What do we do at Kognitwin Energy?Kongsberg Digital’s solutions for the energy sector enables our customers to optimize and manage their operations.,"Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
DEVOPS AUTOMATION QUALITY ASSURANCE ENGINEER,Analog Devices,"Bengaluru, Karnataka",NA,Analog Devices (NASDAQ: ADI) designs and manufactures semiconductor products and solutions.We enable our customers to interpret the world around us by…,"Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
Azure Cloud Engineer,Talent Acquisition,NA,1000000 - 1400000,Job Location : * India (Remote full time).Relevant experience working on Cloud infrastructure & architecture.A deep understanding of Azure cloud platform.,"Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
